term,coefficient,odds_ratio,ci_lower,ci_upper,z,p_value,sample_size,model_sample,analysis_window,cohort_definition,denominator
category_model_furniture_decor,-1.5177142897624805,0.21921237071382055,0.18334350133190122,0.2620985370350415,-16.64804687168467,3.126402900658573e-62,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_garden_tools,-1.8524773595134365,0.15684811543222302,0.12881348659830757,0.19098412723938474,-18.43859947928537,6.43874766739931e-76,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_health_beauty,-1.8234893006812787,0.16146137957405962,0.13533176384360307,0.1926360549330181,-20.244930722087314,3.937368251197867e-91,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_home_appliances,-1.6032612406533844,0.20123915735064618,0.14575574364638094,0.27784289962149744,-9.741805221843016,1.9996992637195404e-22,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_housewares,-1.7211101053003965,0.17886747592539,0.1487518336989837,0.21508019866607236,-18.296852150725627,8.767021980845046e-75,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_luggage_accessories,-2.2116149324664196,0.10952363234968467,0.08146220147576935,0.1472514347238319,-14.644147830671372,1.4683062992752558e-48,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_musical_instruments,-1.9548684597822732,0.1415830993410074,0.10408155110977803,0.192596803230408,-12.451483055582333,1.3727045140591363e-35,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_office_furniture,-1.2357711787728276,0.2906105632326314,0.23275196392228706,0.36285193060964044,-10.909683630940263,1.0361631378813245e-27,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_perfumery,-1.7534913477837282,0.17316829605616552,0.14153301745276317,0.21187465157382143,-17.036457216986012,4.406279222476286e-65,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_pet_shop,-1.792097404018444,0.16661035371719013,0.13120583166381156,0.21156841592905773,-14.703161582283075,6.151906304528491e-49,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_small_appliances,-1.8657627467842006,0.15477810834544298,0.11104503003074455,0.2157346692270786,-11.012659517948485,3.3205449390250884e-28,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_sports_leisure,-1.838390319562381,0.15907327727494402,0.13306692728795141,0.1901622593887189,-20.184434530664348,1.3415383487245165e-90,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_stationery,-1.989545342651079,0.13675758915578956,0.10964133249148628,0.1705801796339534,-17.64487065064886,1.1142909486892523e-69,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_telephony,-1.5244173669712373,0.21774788702484899,0.1794258912475987,0.264254740350473,-15.434808634634068,9.548319904982841e-54,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_toys,-1.7984804462525608,0.16555025970450166,0.13636274440761081,0.20098516355980794,-18.17397856191244,8.295898976611569e-74,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_watches_gifts,-1.6276608202672405,0.19638842507394616,0.1635792920652231,0.23577809278968384,-17.45194523371304,3.327066031825459e-68,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_CE,-0.15736147110838355,0.8543951638258752,0.6974165817966838,1.0467073984510693,-1.5192426613398342,0.12870142659321393,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_DF,0.02143593236170499,1.0216673324274257,0.8532947296485004,1.2232633132274808,0.23329747020003458,0.8155304229034314,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_ES,-0.18925881525053073,0.8275722906450036,0.685196802342256,0.9995316584990753,-1.9648273021092741,0.04943422909321149,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_GO,-0.07982388001783963,0.9232789399386598,0.7656685725791336,1.1133328850925945,-0.8358278761465238,0.40325174177355916,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_MA,-0.1641911003259669,0.8485798424999234,0.6609956030243913,1.0893986976651993,-1.2881775661016748,0.1976841593584654,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_MG,-0.0718145763307712,0.930703454261954,0.8181634341947164,1.0587235796326022,-1.0921440449618962,0.274769792433906,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_MS,-0.22552101553448795,0.7981002877675258,0.6043705764828118,1.053929648662707,-1.5897079234924207,0.1119006568297515,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_MT,-0.1415866231336187,0.8679799851820899,0.6735283209978308,1.1185710105858002,-1.0940947894083148,0.27391340747427484,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_Other (<500),-0.27161897859441664,0.7621445991802488,0.6492583425278811,0.8946583386176175,-3.3209283648985037,0.0008971856192856743,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_PA,0.0115666254801312,1.0116337775504964,0.812084983946697,1.2602165045675326,0.10317899241398645,0.9178209125390376,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_PE,-0.1168806542790349,0.8896913676852607,0.736278517608493,1.0750697063724017,-1.210368914529317,0.22613736448436383,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_PR,-0.11733905173036058,0.8892836288901993,0.765235094897417,1.033441066523661,-1.5308229276403813,0.12581316149090918,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_RJ,0.15957122513465316,1.1730078068844474,1.036965391271659,1.326898010862734,2.537089959795688,0.011177822655469544,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_RS,-0.15902238272506763,0.8529772667998132,0.7382889095817752,0.9854817107972442,-2.158470693124219,0.030891254597459224,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_SC,-0.1587617806413224,0.8531995834197575,0.7273679154238855,1.0007996142137001,-1.950145870647315,0.05115873527914092,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_SP,-0.07122589371171592,0.9312515045069724,0.8273204676789122,1.0482387400369215,-1.179680749474214,0.2381272131386981,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2017-02,-0.12848517981304114,0.8794265955884019,0.6594899793507195,1.1727109755172094,-0.8749945056949653,0.3815768952185019,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2017-03,-0.19922524463404492,0.8193653149055509,0.6234727848359279,1.0768064550675558,-1.4291313743858207,0.15296647739715583,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2017-04,-0.12479297281897878,0.8826796223439232,0.6714992889297594,1.1602742229898464,-0.8944608316982814,0.3710753774690304,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2017-05,-0.2214487247109228,0.8013570109068952,0.6142504231956907,1.0454580651140182,-1.6322874545764074,0.10261894481972092,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2017-06,-0.13942003619685606,0.8698625779433757,0.6659704209909704,1.1361779452312262,-1.0230943271224768,0.30626324890118906,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2017-07,-0.25687141966056154,0.7734676601061711,0.5945108732039651,1.0062931532370252,-1.9132379908660906,0.055717592011515396,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2017-08,-0.318815021098117,0.7270100183838423,0.5591466322319727,0.9452682648210929,-2.380183261514553,0.01730402994137449,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2017-09,-0.2985065896816821,0.7419253927818263,0.571336904071074,0.963447809046116,-2.2393041516859857,0.025136132935802333,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2017-10,-0.1885143101650918,0.8281886518375081,0.6395810265026038,1.0724152446846185,-1.429728027588046,0.1527950928112457,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2017-11,-0.07564999879362783,0.9271406501242708,0.7234920741752978,1.1881122348060196,-0.5978302165293445,0.5499532265286549,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2017-12,0.009657744223558778,1.0097045307313812,0.7850499168548446,1.2986476623855048,0.07521418061290706,0.940044301816769,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2018-01,0.015850725175773746,1.0159770142958104,0.7924575456448235,1.3025420721276868,0.1250340758340739,0.9004965733985523,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2018-02,0.11165590273847578,1.1181280496427206,0.8726009588723638,1.432740043070138,0.8826646916654288,0.3774174644971059,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2018-03,0.005275733291572101,1.0052896744783326,0.7852165495383152,1.2870428294041436,0.04185123886438863,0.9666172880597158,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2018-04,-0.15066975196330054,0.8601317085678243,0.6697218347524911,1.1046773715496705,-1.180176088643042,0.23793018711267622,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2018-05,-0.38091006730333676,0.6832393324126306,0.5305760922027536,0.8798285339575169,-2.9522485507133784,0.003154688870192422,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2018-06,-0.1831001531797772,0.8326847555347441,0.6467694255647493,1.0720418663800035,-1.4203365047802528,0.15550973840592314,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2018-07,-0.3336194382838213,0.7163263367420667,0.5555840776969296,0.923574741085753,-2.57316489934948,0.01007731812437305,89230,all_canonical_reviews,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
const,-2.648071554660596,0.07078759151991668,0.04751202492088067,0.10546557679945119,-13.017590423385117,9.718963276800663e-39,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
is_late,0.8390757428015082,2.3142270470035404,2.0406823016905973,2.6244392969184163,13.073680286495769,4.655738933852009e-39,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
log_order_value,0.4017044200327574,1.4943695616838406,1.4398505819269967,1.5509528661637046,21.18457204364746,1.3252450420831597e-99,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
log_freight_ratio,1.685818776381065,5.396867951837821,4.490854233472657,6.485666685077788,17.979208154649644,2.835126130702226e-72,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_Other (<500),-1.7496937618073412,0.1738271678180697,0.14541029131947605,0.20779742614822955,-19.211736512220348,2.9522386503612286e-82,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_Unknown,-1.33347191378512,0.2635606112362512,0.20867476084488373,0.33288259449288093,-11.19265201558438,4.429825660157884e-29,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_auto,-1.7202688776455715,0.17901800749947158,0.14690587424727758,0.21814952719410916,-17.054940466789926,3.2119997338011394e-65,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_baby,-1.7162549825921112,0.17973801103688697,0.14544648963652917,0.22211435072945515,-15.890053565379253,7.426408891914783e-57,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_bed_bath_table,-1.3598232783563073,0.2567061384759939,0.21624662860636368,0.3047355787969816,-15.539424255120238,1.8766177168340255e-54,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_computers_accessories,-1.43674576565099,0.23770003303198248,0.19910113695999843,0.2837819339763855,-15.891783963381318,7.224201840188657e-57,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_consoles_games,-1.8882416062733078,0.15133768624738797,0.11260594210340709,0.20339153379384461,-12.519097914056173,5.869847274264567e-36,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_construction_tools_construction,-1.688376679124982,0.18481930163996116,0.13332956639865665,0.25619354492273444,-10.133550548613462,3.921459971128836e-24,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_cool_stuff,-1.9492444231383923,0.14238161120511866,0.1159451123303969,0.17484586285618528,-18.60059137845001,3.177827821730562e-77,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_electronics,-1.7437408203895048,0.1748650368868457,0.14076812584079346,0.2172209151951124,-15.756858445547264,6.162090770400749e-56,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_fashion_bags_accessories,-1.8982044862965926,0.14983741296726197,0.1163433191059898,0.19297412603699673,-14.704877949863056,5.997896515574567e-49,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_furniture_decor,-1.4936996410306482,0.22454039809200177,0.1878269922728215,0.26842995122916713,-16.397950624873168,1.9779886955833588e-60,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_garden_tools,-1.8690450958060578,0.15427090543677177,0.12598827375716293,0.18890259827000985,-18.088271414693004,3.94260609190418e-73,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_health_beauty,-1.8758986376526334,0.1532172181998327,0.12796017218739839,0.18345955269984418,-20.410476014522036,1.3496389548006271e-92,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_home_appliances,-1.6039271608450372,0.2011051927422346,0.14417279829901375,0.2805196196859001,-9.445590721717748,3.5340521519435606e-21,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_housewares,-1.7469883219580506,0.17429808349455728,0.1446371764229166,0.21004158585788196,-18.355635365340305,2.975859434234555e-75,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_luggage_accessories,-2.261685425063024,0.10417475796119002,0.07558198130527084,0.14358422482258626,-13.815786666226959,2.047056784347529e-43,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_musical_instruments,-2.0656205239007375,0.12673962119828336,0.08865047484515882,0.18119397114951324,-11.326703704047112,9.677868771154243e-30,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_office_furniture,-1.17967471580964,0.3073787077751464,0.2471591079308109,0.38227063847458065,-10.60370684183144,2.8639845873913325e-26,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_perfumery,-1.7620098558193371,0.17169942570899427,0.13932408244309477,0.21159796836156788,-16.528341327195278,2.2936894672217942e-61,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_pet_shop,-1.8120406648798206,0.16332051407516082,0.12740233303165896,0.20936500677068862,-14.299682947518384,2.1980867542833834e-46,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
