dimension,value,issue_category,issue_count,written_denominator,issue_rate,primary_written_denominator,primary_conditional_rate,meets_minimum,threshold
category,arts_and_craftmanship,Mixed / rating-text mismatch,0,7,0.0,3,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,arts_and_craftmanship,Mixed resolution / service,0,7,0.0,3,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,arts_and_craftmanship,Positive delivery mentions,3,7,0.42857142857142855,3,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,arts_and_craftmanship,Positive generic mentions,0,7,0.0,3,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,arts_and_craftmanship,Positive product / overall mentions,1,7,0.14285714285714285,3,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,arts_and_craftmanship,Product condition / mismatch,2,7,0.2857142857142857,3,0.6666666666666666,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,audio,Delivery waiting / non-receipt,19,142,0.13380281690140844,66,0.2878787878787879,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,audio,Generic / Unclear,3,142,0.02112676056338028,66,0.045454545454545456,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,audio,Incomplete order / missing units,1,142,0.007042253521126761,66,0.015151515151515152,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,audio,Mixed / rating-text mismatch,8,142,0.056338028169014086,66,0.12121212121212122,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,audio,Mixed resolution / service,14,142,0.09859154929577464,66,0.21212121212121213,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,audio,Positive delivery mentions,30,142,0.2112676056338028,66,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,audio,Positive generic mentions,22,142,0.15492957746478872,66,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,audio,Positive product / overall mentions,24,142,0.16901408450704225,66,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,audio,Product condition / mismatch,21,142,0.14788732394366197,66,0.3181818181818182,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,auto,Delivery waiting / non-receipt,128,1471,0.08701563562202583,452,0.2831858407079646,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,auto,Generic / Unclear,41,1471,0.02787219578518015,452,0.09070796460176991,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,auto,Incomplete order / missing units,52,1471,0.03535010197144799,452,0.11504424778761062,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,auto,Mixed / rating-text mismatch,42,1471,0.028552005438477225,452,0.09292035398230089,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,auto,Mixed resolution / service,94,1471,0.06390210740992522,452,0.2079646017699115,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,auto,Positive delivery mentions,309,1471,0.21006118286879674,452,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,auto,Positive generic mentions,335,1471,0.22773623385452074,452,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,auto,Positive product / overall mentions,375,1471,0.2549286199864038,452,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,auto,Product condition / mismatch,95,1471,0.06458191706322229,452,0.21017699115044247,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,baby,Delivery waiting / non-receipt,76,901,0.08435072142064373,320,0.2375,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,baby,Generic / Unclear,21,901,0.023307436182019976,320,0.065625,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,baby,Incomplete order / missing units,40,901,0.04439511653718091,320,0.125,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,baby,Mixed / rating-text mismatch,33,901,0.03662597114317425,320,0.103125,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,baby,Mixed resolution / service,83,901,0.09211986681465038,320,0.259375,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,baby,Positive delivery mentions,191,901,0.21198668146503885,320,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,baby,Positive generic mentions,156,901,0.17314095449500555,320,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,baby,Positive product / overall mentions,234,901,0.2597114317425083,320,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,baby,Product condition / mismatch,67,901,0.07436182019977802,320,0.209375,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,bed_bath_table,Delivery waiting / non-receipt,294,3840,0.0765625,1392,0.21120689655172414,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,bed_bath_table,Generic / Unclear,154,3840,0.04010416666666667,1392,0.11063218390804598,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,bed_bath_table,Incomplete order / missing units,224,3840,0.058333333333333334,1392,0.16091954022988506,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,bed_bath_table,Mixed / rating-text mismatch,155,3840,0.040364583333333336,1392,0.11135057471264367,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,bed_bath_table,Mixed resolution / service,228,3840,0.059375,1392,0.16379310344827586,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,bed_bath_table,Positive delivery mentions,605,3840,0.15755208333333334,1392,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,bed_bath_table,Positive generic mentions,854,3840,0.22239583333333332,1392,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,bed_bath_table,Positive product / overall mentions,989,3840,0.25755208333333335,1392,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,bed_bath_table,Product condition / mismatch,337,3840,0.08776041666666666,1392,0.24209770114942528,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_general_interest,Delivery waiting / non-receipt,9,142,0.06338028169014084,24,0.375,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_general_interest,Generic / Unclear,5,142,0.035211267605633804,24,0.20833333333333334,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_general_interest,Incomplete order / missing units,4,142,0.028169014084507043,24,0.16666666666666666,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_general_interest,Mixed / rating-text mismatch,4,142,0.028169014084507043,24,0.16666666666666666,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_general_interest,Mixed resolution / service,2,142,0.014084507042253521,24,0.08333333333333333,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_general_interest,Positive delivery mentions,47,142,0.33098591549295775,24,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_general_interest,Positive generic mentions,39,142,0.2746478873239437,24,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_general_interest,Positive product / overall mentions,32,142,0.22535211267605634,24,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_general_interest,Product condition / mismatch,0,142,0.0,24,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_imported,Delivery waiting / non-receipt,1,11,0.09090909090909091,5,0.2,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_imported,Generic / Unclear,0,11,0.0,5,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_imported,Incomplete order / missing units,2,11,0.18181818181818182,5,0.4,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_imported,Mixed / rating-text mismatch,0,11,0.0,5,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_imported,Mixed resolution / service,2,11,0.18181818181818182,5,0.4,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_imported,Positive delivery mentions,4,11,0.36363636363636365,5,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_imported,Positive generic mentions,2,11,0.18181818181818182,5,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_imported,Positive product / overall mentions,0,11,0.0,5,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_imported,Product condition / mismatch,0,11,0.0,5,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_technical,Delivery waiting / non-receipt,3,71,0.04225352112676056,15,0.2,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_technical,Generic / Unclear,2,71,0.028169014084507043,15,0.13333333333333333,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_technical,Incomplete order / missing units,1,71,0.014084507042253521,15,0.06666666666666667,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_technical,Mixed / rating-text mismatch,0,71,0.0,15,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_technical,Mixed resolution / service,6,71,0.08450704225352113,15,0.4,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_technical,Positive delivery mentions,25,71,0.352112676056338,15,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_technical,Positive generic mentions,17,71,0.23943661971830985,15,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_technical,Positive product / overall mentions,14,71,0.19718309859154928,15,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,books_technical,Product condition / mismatch,3,71,0.04225352112676056,15,0.2,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,cds_dvds_musicals,Delivery waiting / non-receipt,0,5,0.0,1,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,cds_dvds_musicals,Generic / Unclear,1,5,0.2,1,1.0,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,cds_dvds_musicals,Incomplete order / missing units,0,5,0.0,1,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,cds_dvds_musicals,Mixed / rating-text mismatch,0,5,0.0,1,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,cds_dvds_musicals,Mixed resolution / service,0,5,0.0,1,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,cds_dvds_musicals,Positive delivery mentions,0,5,0.0,1,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,cds_dvds_musicals,Positive generic mentions,3,5,0.6,1,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,cds_dvds_musicals,Positive product / overall mentions,1,5,0.2,1,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,cds_dvds_musicals,Product condition / mismatch,0,5,0.0,1,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,christmas_supplies,Delivery waiting / non-receipt,6,49,0.12244897959183673,15,0.4,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,christmas_supplies,Generic / Unclear,0,49,0.0,15,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,christmas_supplies,Incomplete order / missing units,3,49,0.061224489795918366,15,0.2,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,christmas_supplies,Mixed / rating-text mismatch,1,49,0.02040816326530612,15,0.06666666666666667,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,christmas_supplies,Mixed resolution / service,4,49,0.08163265306122448,15,0.26666666666666666,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,christmas_supplies,Positive delivery mentions,11,49,0.22448979591836735,15,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,christmas_supplies,Positive generic mentions,9,49,0.1836734693877551,15,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,christmas_supplies,Positive product / overall mentions,14,49,0.2857142857142857,15,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,christmas_supplies,Product condition / mismatch,1,49,0.02040816326530612,15,0.06666666666666667,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,cine_photo,Delivery waiting / non-receipt,1,17,0.058823529411764705,4,0.25,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,cine_photo,Generic / Unclear,0,17,0.0,4,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,cine_photo,Incomplete order / missing units,1,17,0.058823529411764705,4,0.25,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,cine_photo,Mixed / rating-text mismatch,0,17,0.0,4,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,cine_photo,Mixed resolution / service,0,17,0.0,4,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,cine_photo,Positive delivery mentions,2,17,0.11764705882352941,4,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,cine_photo,Positive generic mentions,6,17,0.35294117647058826,4,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,cine_photo,Positive product / overall mentions,5,17,0.29411764705882354,4,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,cine_photo,Product condition / mismatch,2,17,0.11764705882352941,4,0.5,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,computers,Delivery waiting / non-receipt,4,70,0.05714285714285714,16,0.25,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,computers,Generic / Unclear,1,70,0.014285714285714285,16,0.0625,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,computers,Incomplete order / missing units,1,70,0.014285714285714285,16,0.0625,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,computers,Mixed / rating-text mismatch,1,70,0.014285714285714285,16,0.0625,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,computers,Mixed resolution / service,5,70,0.07142857142857142,16,0.3125,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,computers,Positive delivery mentions,20,70,0.2857142857142857,16,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,computers,Positive generic mentions,19,70,0.2714285714285714,16,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,computers,Positive product / overall mentions,15,70,0.21428571428571427,16,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,computers,Product condition / mismatch,4,70,0.05714285714285714,16,0.25,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,computers_accessories,Delivery waiting / non-receipt,209,2448,0.08537581699346405,915,0.2284153005464481,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,computers_accessories,Generic / Unclear,91,2448,0.037173202614379085,915,0.0994535519125683,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,computers_accessories,Incomplete order / missing units,103,2448,0.042075163398692814,915,0.11256830601092896,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,computers_accessories,Mixed / rating-text mismatch,53,2448,0.02165032679738562,915,0.05792349726775956,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,computers_accessories,Mixed resolution / service,237,2448,0.09681372549019608,915,0.25901639344262295,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,computers_accessories,Positive delivery mentions,574,2448,0.23447712418300654,915,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,computers_accessories,Positive generic mentions,438,2448,0.17892156862745098,915,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,computers_accessories,Positive product / overall mentions,521,2448,0.2128267973856209,915,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,computers_accessories,Product condition / mismatch,222,2448,0.09068627450980392,915,0.24262295081967214,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,consoles_games,Delivery waiting / non-receipt,28,344,0.08139534883720931,112,0.25,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,consoles_games,Generic / Unclear,13,344,0.0377906976744186,112,0.11607142857142858,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,consoles_games,Incomplete order / missing units,13,344,0.0377906976744186,112,0.11607142857142858,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,consoles_games,Mixed / rating-text mismatch,9,344,0.02616279069767442,112,0.08035714285714286,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,consoles_games,Mixed resolution / service,29,344,0.08430232558139535,112,0.25892857142857145,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,consoles_games,Positive delivery mentions,104,344,0.3023255813953488,112,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,consoles_games,Positive generic mentions,56,344,0.16279069767441862,112,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,consoles_games,Positive product / overall mentions,72,344,0.20930232558139536,112,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,consoles_games,Product condition / mismatch,20,344,0.05813953488372093,112,0.17857142857142858,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_construction,Delivery waiting / non-receipt,21,236,0.08898305084745763,82,0.25609756097560976,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_construction,Generic / Unclear,8,236,0.03389830508474576,82,0.0975609756097561,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_construction,Incomplete order / missing units,12,236,0.05084745762711865,82,0.14634146341463414,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_construction,Mixed / rating-text mismatch,5,236,0.0211864406779661,82,0.06097560975609756,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_construction,Mixed resolution / service,18,236,0.07627118644067797,82,0.21951219512195122,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_construction,Positive delivery mentions,44,236,0.1864406779661017,82,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_construction,Positive generic mentions,44,236,0.1864406779661017,82,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_construction,Positive product / overall mentions,66,236,0.2796610169491525,82,,True,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_construction,Product condition / mismatch,18,236,0.07627118644067797,82,0.21951219512195122,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_lights,Delivery waiting / non-receipt,2,57,0.03508771929824561,19,0.10526315789473684,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_lights,Generic / Unclear,5,57,0.08771929824561403,19,0.2631578947368421,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_lights,Incomplete order / missing units,3,57,0.05263157894736842,19,0.15789473684210525,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_lights,Mixed / rating-text mismatch,3,57,0.05263157894736842,19,0.15789473684210525,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_lights,Mixed resolution / service,3,57,0.05263157894736842,19,0.15789473684210525,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_lights,Positive delivery mentions,13,57,0.22807017543859648,19,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_lights,Positive generic mentions,11,57,0.19298245614035087,19,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_lights,Positive product / overall mentions,14,57,0.24561403508771928,19,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_lights,Product condition / mismatch,3,57,0.05263157894736842,19,0.15789473684210525,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_safety,Delivery waiting / non-receipt,4,51,0.0784313725490196,21,0.19047619047619047,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_safety,Generic / Unclear,0,51,0.0,21,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_safety,Incomplete order / missing units,1,51,0.0196078431372549,21,0.047619047619047616,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_safety,Mixed / rating-text mismatch,3,51,0.058823529411764705,21,0.14285714285714285,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_safety,Mixed resolution / service,7,51,0.13725490196078433,21,0.3333333333333333,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_safety,Positive delivery mentions,9,51,0.17647058823529413,21,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_safety,Positive generic mentions,9,51,0.17647058823529413,21,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
category,construction_tools_safety,Positive product / overall mentions,12,51,0.23529411764705882,21,,False,"written>=100 and issue>=20; descriptive, no significance ranking"
